PartialPostalCode,Lead Amount (ppm)_avg,Lead Amount (ppm)_std,Latitude,Longitude,Place name
M1B,8.15e-05,0.001697830617944046,43.8113,-79.193,Scarborough (Malvern / Rouge River)
M1C,6.05e-05,0.0031525561642788864,43.7878,-79.1564,Scarborough (Rouge Hill / Port Union / Highland Creek)
M1E,6.64e-05,0.00026745985680097864,43.7678,-79.1866,Scarborough (Guildwood / Morningside / Ellesmere)
M1G,8.915e-05,0.00043399634438032284,43.7712,-79.2144,Scarborough (Woburn)
M1H,1e-05,0.00018329187176852727,43.7686,-79.2389,Scarborough (Cedarbrae)
M1J,7.840000000000001e-05,0.0008590499292042349,43.7464,-79.2323,Scarborough (Eglinton)
M1K,3e-05,0.0009779467969855344,43.7298,-79.2639,Scarborough (Kennedy Park / Ionview / East Birchmount Park)
M1L,7.93e-05,0.001224345701098031,43.7122,-79.2843,Scarborough (The Golden Mile / Clairlea / Oakridge / Birchmount Park East)
M1M,9.5e-05,0.002105719666276052,43.7247,-79.2312,Scarborough (Cliffside / Cliffcrest / Scarborough Village West)
M1N,0.00015050000000000003,0.03536762956853638,43.6952,-79.2646,Scarborough (Birch Cliff / Cliffside West)
M1P,6.145e-05,0.0007126524472792525,43.7612,-79.2707,Scarborough (Dorset Park / Wexford Heights / Scarborough Town Centre)
M1R,5.1e-05,0.0016223908182888254,43.7507,-79.3003,Scarborough (Wexford / Maryvale)
M1S,0.0001008,0.003015556980335282,43.7946,-79.2644,Scarborough (Agincourt)
M1T,6.835000000000001e-05,0.14097433304320658,43.7812,-79.3036,Scarborough (Clarks Corners / Tam O'Shanter / Sullivan)
M1V,5.97e-05,0.00018360393786626692,43.8177,-79.2819,Scarborough (Milliken / Agincourt North / Steeles East / L'Amoreaux East)
M1W,1e-05,4.483559665347085e-05,43.8016,-79.3216,Scarborough (Steeles West / L'Amoreaux West)
M1X,0.00011094999999999999,2.694076836320746e-05,43.834,-79.2069,Scarborough (Upper Rouge)
M2H,1e-05,0.0005196602765790234,43.8015,-79.3577,North York (Hillcrest Village)
M2J,6.77e-05,0.02457657965970814,43.7801,-79.3479,North York (Fairview / Henry Farm / Oriole)
M2K,3.18e-05,0.0005840863256575228,43.7797,-79.3813,North York (Bayview Village)
M2L,9.95e-05,0.0258705231525847,43.7547,-79.3764,North York (York Mills / Silver Hills)
M2M,7.67e-05,0.0005677224166348166,43.7915,-79.4103,Willowdale East (Newtonbrook)
M2N,6.68e-05,0.0037937077023631623,43.7673,-79.4111,Willowdale South
M2P,6.98e-05,0.0003419360359287489,43.75,-79.3978,North York (York Mills West)
M2R,6.84e-05,0.003144095576469589,43.7786,-79.445,Willowdale West
M3A,5.59e-05,0.03592516408817815,43.7545,-79.33,North York (York Heights / Victoria Village / Parkway East)
M3B,5.7e-05,0.0006248001869101233,43.745,-79.359,Don Mills North
M3C,5.49e-05,0.00035321809834718275,43.7334,-79.3329,Don Mills South (Flemingdon Park)
M3H,6.22e-05,0.005966625789797379,43.7535,-79.4472,North York (Armour Heights / Wilson Heights / Downsview North)
M3J,9.12e-05,0.00010312754008415756,43.7694,-79.4921,North York (Northwood Park / York University)
M3K,5e-05,8.26609860279389e-05,43.739,-79.4692,Downsview East (CFB Toronto)
M3L,1e-05,0.00015234535538601862,43.7334,-79.5116,Downsview West
M3M,8.22e-05,0.018479066913534133,43.7319,-79.4928,Downsview Central
M3N,7.485e-05,0.0008539843564140973,43.7568,-79.521,North York (Jane and Finch)
M4A,5.55e-05,0.000232891318690331,43.7276,-79.3148,North York (Sweeney Park / Wigmore Park)
M4B,5.675e-05,0.06660273345851568,43.7063,-79.3094,East York (Parkview Hill / Woodbine Gardens)
M4C,0.000508,0.0188781876133929,43.6913,-79.3116,East York (Woodbine Heights)
M4E,0.000326,0.012513195923720442,43.6784,-79.2941,East Toronto (The Beaches)
M4G,0.000186,0.007156437543829448,43.7124,-79.3644,East York (Leaside)
M4J,0.000393,0.2941177431981364,43.6872,-79.3368,East Toronto (The Danforth East)
M4K,0.000251,0.04873500099116807,43.6803,-79.3538,East Toronto (The Danforth West / Riverdale)
